Collection,Name,Key,BPM,Energy
unlEASHed,Lyrical: Mere Khwabon Mein Song with Lyrics | Dilwale Dulhania Le Jayenge | Anand Bakshi,G#m,120.28,4
unlEASHed,Full Song | Dhoom:2 | Abhishek Bachchan | Bipasha Basu | Uday Chopra,C#m,104,6
unlEASHed,I Took A Pill In Ibiza Mike Posner,A#,103.41,6
unlEASHed,She Will Be Loved,D#,101.98,5
unlEASHed,Pardon Me,E,152,5
unlEASHed,3 Peg Sharry Mann (Full Video) | Mista Baaz | Parmish Verma | Latest Punjabi Songs 2016 | T-Series,Cm,83.99,7
unlEASHed,Jannat - Full song,Dm,84,5
unlEASHed,Randhir Kapoor - Babita - Kal Aaj Aur Kal - Bollywood Love Songs,Em,137.45,3
unlEASHed,Jo jeeta wohi Sikandar,F#,79.59,4
unlEASHed,Like Whaaat,D#m,93.01,5
unlEASHed,2 On (Audio),F#m,101,6
unlEASHed,Shake It Off,G,80,8
unlEASHed,Take It On Back (Audio),A,157.84,6
unlEASHed,What You Waiting For? (Clean Version),Gm,134.64,6
unlEASHed,Major [Prod. By Band Play],F#m,147,7
unlEASHed,,Dm,121.99,8
unlEASHed,Video Song | Jab Pyaar Kisise Hota Hai | Salman Khan & Twinkle,C#,98.99,4
unlEASHed,Blurred Lines (feat. T.I. and Pharrell) [Lyrics on Screen] HD,G,120,6
unlEASHed,Chalo Mere Saath Chalo - Vijay Benedick - Sharon Prabhakar,D#,137.72,4
unlEASHed,Bodak yellow lyrics song,Em,125,7
unlEASHed,Sexy Chick,D,130,7
unlEASHed,U Mad,C#m,134,7
unlEASHed,Telephone ft. Beyonc̩,Fm,122.01,6
unlEASHed,Apologize,D#,118,5
unlEASHed,$ave Dat Money (Audio Only),Cm,98,6
unlEASHed,Usha Uthup Live Part 1,F,127.26,6
unlEASHed,The Hills,Cm,113,5
unlEASHed,Lonely,Fm,90.14,5
unlEASHed,Hood Go Crazy (feat. 2 Chainz & B.o.B),D#m,96,8
unlEASHed,Humble (Skrillex Remix),D#m,150,8
unlEASHed,Young M.A OOOUUU (Official Video),Cm,120,7
unlEASHed,Maneater (US Version),A#m/Cm,132.59,6
unlEASHed,Bass Down Low (Explicit),Em,113,8
unlEASHed,Kati Patang (1970) lyrics & translation,Fm,116.32,2
unlEASHed,"Badri Ki Dulhania (Title Track) Varun, Alia, Tanishk, Neha, Monali, Ikka | Badrinath Ki Dulhania",Dm,128,7
unlEASHed,Gods Plan (Lyric Video),Cm,154.4,6
unlEASHed,Baby Bash ,D#m,156.01,7
unlEASHed,Yeah! (Madness Trap Remix),Em,105.04,7
unlEASHed,SONI DE NAKHRE,G#m,132.01,7
unlEASHed,Waiting For Tonight (Remix),Fm,98.62,6
unlEASHed,Dan Bilzerian,A,150,7
unlEASHed,Sage The Gemini Lyrics,G#m,100,7
unlEASHed,"Aap Jaisa Koi Meri Zindagi | Nazia Hassan| Qurbani 1980 Songs | Feroz Khan, Zeenat Aman",Fm,112.15,6
unlEASHed,Kishore Kumar & Mohd Rafi,Em,156.01,4
unlEASHed,2 phones lyrics,Gm,122,6
unlEASHed,"Drake Ft Lil Wayne, Rick Ross ",Bm,150,7
unlEASHed,DJ Got Us Fallin In Love,Gm,120,7
unlEASHed,Thats What I Like,A#m,134,7
unlEASHed,The Reason,E,82.97,5
unlEASHed,Its My Life,F#,126.31,7
unlEASHed,Palat Tera Hero Idhar Hai (Full Video) Song Main Tera Hero | Arijit Singh | Varun Dhawan,A#m,133.75,5
unlEASHed,"Dheere Dheere Se Meri Zindagi Video Song (OFFICIAL) Hrithik Roshan, Sonam Kapoor | Yo Yo Honey Singh",Am,84,6
unlEASHed,"Hum Aapke Hain Koun - Salman Khan, Madhuri Dixit - Best Bollywood Song",F#m,107.7,4
unlEASHed,PillowTalk ,B,125,6
